Date,AMD,BTC-USD,ETH-USD,NET,NKE
2017-04-01,,1080.5,,,
2017-04-02,,1102.1700439453125,,,
2017-04-03,14.640000343322754,1143.81005859375,,,52.78837585449219
2017-04-04,14.15999984741211,1133.25,,,52.29430389404297
2017-04-05,14.170000076293945,1124.780029296875,,,52.23729705810547
2017-04-06,13.270000457763672,1182.6800537109375,,,52.38932418823242
2017-04-07,13.520000457763672,1176.9000244140625,,,52.36082458496094
2017-04-08,,1175.949951171875,,,
2017-04-09,,1187.8699951171875,,,
2017-04-10,13.100000381469727,1187.1300048828125,,,52.161293029785156
2017-04-11,13.100000381469727,1205.010009765625,,,52.18029022216797
2017-04-12,12.760000228881836,1200.3699951171875,,,52.797874450683594
2017-04-13,12.3100004196167,1169.280029296875,,,52.579349517822266
2017-04-14,,1167.5400390625,,,
2017-04-15,,1172.52001953125,,,
2017-04-16,,1182.93994140625,,,
2017-04-17,12.789999961853027,1193.9100341796875,,,53.434444427490234
2017-04-18,12.949999809265137,1211.6700439453125,,,53.31093215942383
2017-04-19,12.84000015258789,1210.2900390625,,,53.073402404785156
2017-04-20,13.109999656677246,1229.0799560546875,,,53.58647155761719
2017-04-21,13.0,1222.050048828125,,,53.063907623291016
2017-04-22,,1231.7099609375,,,
2017-04-23,,1207.2099609375,,,
2017-04-24,13.130000114440918,1250.1500244140625,,,52.702857971191406
2017-04-25,13.489999771118164,1265.489990234375,,,52.68385314941406
2017-04-26,13.40999984741211,1281.0799560546875,,,52.40833282470703
2017-04-27,13.619999885559082,1317.72998046875,,,52.702857971191406
2017-04-28,13.300000190734863,1316.47998046875,,,52.64585494995117
2017-04-29,,1321.7900390625,,,
2017-04-30,,1347.8900146484375,,,
2017-05-01,13.619999885559082,1421.5999755859375,,,52.24680709838867
2017-05-02,10.319999694824219,1452.8199462890625,,,52.322818756103516
2017-05-03,10.390000343322754,1490.0899658203125,,,51.809749603271484
2017-05-04,10.100000381469727,1537.6700439453125,,,51.75274658203125
2017-05-05,10.1899995803833,1555.449951171875,,,51.25868606567383
2017-05-06,,1578.800048828125,,,
2017-05-07,,1596.7099609375,,,
2017-05-08,10.039999961853027,1723.3499755859375,,,51.59122085571289
2017-05-09,10.180000305175781,1755.3599853515625,,,52.151798248291016
2017-05-10,10.789999961853027,1787.1300048828125,,,51.838260650634766
2017-05-11,11.069999694824219,1848.5699462890625,,,51.53421401977539
2017-05-12,11.260000228881836,1724.239990234375,,,51.496212005615234
2017-05-13,,1804.9100341796875,,,
2017-05-14,,1808.9100341796875,,,
2017-05-15,11.420000076293945,1738.4300537109375,,,51.08766555786133
2017-05-16,12.75,1734.449951171875,,,50.14704895019531
2017-05-17,11.199999809265137,1839.0899658203125,,,49.21593475341797
2017-05-18,11.279999732971191,1888.6500244140625,,,49.1019287109375
2017-05-19,11.40999984741211,1987.7099609375,,,49.18742370605469
2017-05-20,,2084.72998046875,,,
2017-05-21,,2041.199951171875,,,
2017-05-22,11.039999961853027,2173.39990234375,,,48.997413635253906
2017-05-23,10.890000343322754,2320.419921875,,,49.595985412597656
2017-05-24,10.890000343322754,2443.639892578125,,,49.41546630859375
2017-05-25,10.979999542236328,2304.97998046875,,,49.738502502441406
2017-05-26,11.0,2202.419921875,,,49.96653747558594
